counts,species
38087,[Lolium rigidum]
10798,[Triticum aestivum]
6819,[Triticum turgidum subsp. durum]
4735,[Hordeum vulgare]
3877,[Brachypodium distachyon]
3192,[Triticum dicoccoides]
3171,[Hordeum vulgare subsp. vulgare]
2824,[Triticum urartu]
2211,[Aegilops tauschii subsp. strangulata]
304,[Oryza sativa Japonica Group]
239,[Oryza meyeriana var. granulata]
219,[Zizania palustris]
212,[Panicum virgatum]
193,[Avena sativa]
192,[Oryza brachyantha]
183,[Digitaria exilis]
171,[Avena strigosa]
160,[Panicum miliaceum]
158,[Zea mays]
144,[Dasypyrum villosum]
142,[Eragrostis curvula]
135,[Miscanthus lutarioriparius]
130,[Setaria viridis]
118,[Lolium perenne]
114,[Panicum hallii]
107,[Eleusine coracana subsp. coracana]
100,[Oryza sativa Indica Group]
95,[Sorghum bicolor]
89,[Dichanthelium oligosanthes]
75,[Setaria italica]
69,[Panicum hallii var. hallii]
58,[Lolium arundinaceum]
50,[Glycine max]
38,[Olea europaea subsp. europaea]
35,[Avena fatua]
33,[Deschampsia antarctica]
29,[Poa pratensis]
29,[Oryza sativa]
22,[Lolium multiflorum]
22,[Dactylis glomerata]
21,[Ananas comosus var. bracteatus]
19,[Gossypium hirsutum]
15,[Brachypodium sylvaticum]
12,[Triticum monococcum]
11,[Tetracentron sinense]
11,[Agrostis stolonifera]
10,[Nicotiana tabacum]
9,[Momordica charantia]
9,[Alopecurus myosuroides]
8,[Puccinellia tenuiflora]
8,[Phleum pratense]
8,[Aegilops tauschii]
7,[synthetic construct]
7,[Secale cereale]
7,[Polypogon fugax]
6,[Vigna radiata var. radiata]
6,[Triticum timopheevii]
6,[Triticum monococcum subsp. aegilopoides]
6,[Stipa purpurea]
6,[Lolium temulentum]
6,[Hordeum vulgare subsp. spontaneum]
6,[Holcus lanatus]
6,[Festuca elata]
6,[Cucurbita argyrosperma subsp. sororia]
6,[Bauhinia variegata]
6,[Avena maroccana]
6,[Aegilops speltoides]
5,[Triticum turgidum]
5,[Phyllostachys edulis]
5,[Oryza punctata]
5,[Musa troglodytarum]
5,[Festuca pratensis]
5,[Ensete ventricosum]
5,[Ananas comosus]
5,[Alopecurus aequalis]
5,[Agropyron mongolicum]
4,[Triticum polonicum]
4,[Phoenix dactylifera]
4,[Nicotiana attenuata]
4,[Musa balbisiana]
4,[Leymus chinensis]
4,[Bambusa oldhamii]
4,[Avena nuda]
3,[Vanilla planifolia]
3,[Spirodela intermedia]
3,[Salmo salar]
3,[Puccinellia chinampoensis]
3,[Lupinus angustifolius]
3,[Hordeum brevisubulatum]
3,[Festuca rubra subsp. commutata]
3,[Elaeis guineensis]
3,[Durio zibethinus]
3,[Cocos nucifera]
3,[Camelina sativa]
3,[Bambusa emeiensis]
3,[Avena sterilis]
3,[Avena sterilis subsp. ludoviciana]
3,[Avena longiglumis]
3,[Avena clauda]
2,[Zingiber officinale]
2,[Zea mays subsp. parviglumis]
2,[Triticum monococcum subsp. monococcum]
2,[Thinopyrum elongatum]
2,[Thalictrum thalictroides]
2,[Smallanthus sonchifolius]
2,[Shorea leprosula]
2,[Saccharum hybrid cultivar SP80-3280]
2,[Saccharum hybrid cultivar B4362]
2,[Psathyrostachys juncea]
2,[Psathyrostachys huashanica]
2,[Prunus armeniaca]
2,[Populus tomentosa]
2,[Poa secunda]
2,[Pisum sativum]
2,[Oryza alta]
2,[Olea europaea]
2,[Musa acuminata subsp. malaccensis]
2,[Microthlaspi erraticum]
2,[Lupinus albus]
2,[Lithospermum erythrorhizon]
2,[Holcus mollis]
2,[Hibiscus syriacus]
2,[Eucalyptus grandis]
2,[Elymus stipifolius]
2,[Dendrocalamus latiflorus]
2,[Dendrobium nobile]
2,[Cinnamomum micranthum f. kanehirae]
2,[Carya illinoinensis]
2,[Carex littledalei]
2,[Bromus tectorum]
2,[Bromus inermis]
2,[Brassica cretica]
2,[Beta vulgaris subsp. vulgaris]
2,[Avena murphyi]
2,[Artibeus jamaicensis]
2,[Arabidopsis lyrata subsp. lyrata]
2,[Apostasia shenzhenica]
1,[Ziziphus jujuba var. spinosa]
1,[Zizania latifolia]
1,[Xanthoceras sorbifolium]
1,[Vitis vinifera]
1,[Vigna unguiculata]
1,[Vigna angularis]
1,[Trisetum glaciale]
1,[Trisetum cernuum]
1,[Tripterygium wilfordii]
1,[Trifolium pratense]
1,[Thlaspi arvense]
1,[Tarenaya hassleriana]
1,[Stipa pennata subsp. eriocaulis]
1,[Stipa capillata]
1,[Stipa capillacea]
1,[Solanum tuberosum]
1,[Solanum stenotomum]
1,[Senna tora]
1,[Scleria parvula]
1,[Salvia splendens]
1,[Saccharum hybrid cultivar R570]
1,[Saccharum hybrid cultivar Q117]
1,[Rhynchoryza subulata]
1,[Rhododendron simsii]
1,[Raphanus sativus]
1,[Quercus suber]
1,[Prunus dulcis]
1,[Prosopis alba]
1,[Poa palustris]
1,[Piptochaetium avenaceum]
1,[Phyllostachys praecox]
1,[Phtheirospermum japonicum]
1,[Perilla frutescens var. hirtella]
1,[Papaver bracteatum]
1,[Papaver armeniacum]
1,[Oryza officinalis]
1,[Oryza glaberrima]
1,[Oryza coarctata]
1,[Olea europaea var. sylvestris]
1,[Nelumbo nucifera]
1,[Mycobacteroides abscessus]
1,[Merxmuellera tsaratananensis]
1,[Malus domestica]
1,[Macadamia integrifolia]
1,[Lolium sp. CD-2012]
1,[Leymus cinereus]
1,[Kengyilia zhaosuensis]
1,[Juglans microcarpa x Juglans regia]
1,[Jatropha curcas]
1,[Indosasa hispida]
1,[Hordeum lechleri]
1,[Hevea brasiliensis]
1,[Henrardia persica]
1,[Guaduella oblonga]
1,[Gossypium tomentosum]
1,[Gossypium mustelinum]
1,[Gossypium darwinii]
1,[Gossypium barbadense]
1,[Flagellaria indica]
1,[Festuca ovina]
1,[Eragrostis tef]
1,[Cuscuta campestris]
1,[Cucurbita argyrosperma subsp. argyrosperma]
1,[Corchorus olitorius]
1,[Citrus unshiu]
1,[Chrysopogon zizanioides]
1,[Chandrasekharania keralensis]
1,[Carica papaya]
1,[Capsicum baccatum]
1,[Capsella rubella]
1,[Camellia sinensis]
1,[Camellia sinensis var. sinensis]
1,[Buergersiochloa bambusoides]
1,[Brassica napus]
1,[Brachypodium pinnatum]
1,[Beckmannia syzigachne]
1,[Avena wiestii]
1,[Avena ventricosa]
1,[Avena vaviloviana]
1,[Avena magna]
1,[Avena hybrida]
1,[Asparagus officinalis]
1,[Arrhenatherum elatius]
1,[Arctium lappa]
1,[Arachis hypogaea]
1,[Apera spica-venti]
1,[Agrostis stolonifera var. palustris]
1,[Aegilops umbellulata]
1,[Aegilops longissima]
1,[Aegilops biuncialis]
