source,chr,start,end
chr2D%532746481%532868043,chr2D,199252930,199253145
chr2D%532746481%532868043,chr2D,532661255,532661470
chr2D%532746481%532868043,chr2D,532691659,532691872
chr2D%532746481%532868043,chr2D,532746481,532746689
chr2D%532746481%532868043,chr2D,532711782,532711994
chr2D%532746481%532868043,chr2D,532853204,532853416
chr2D%532746481%532868043,chr2D,532933028,532933240
chr2D%532746481%532868043,chr2D,199237021,199237236
chr2D%532746481%532868043,chr2D,532663373,532663588
chr2D%532746481%532868043,chr2D,198895935,198896148
chr2D%532746481%532868043,chr2D,532681705,532681913
chr2D%532746481%532868043,chr2D,532685192,532685400
chr2D%532746481%532868043,chr2D,532768812,532769019
chr2D%532746481%532868043,chr2D,532848569,532848765
chr2D%532746481%532868043,chr2D,532767139,532767351
chr2D%532746481%532868043,chr2D,532774627,532774839
chr2D%532746481%532868043,chr2D,532877813,532878025
chr2D%532746481%532868043,chr2D,199035946,199036161
chr2D%532746481%532868043,chr2D,199239351,199239556
chr2D%532746481%532868043,chr2D,199241682,199241897
chr2D%532746481%532868043,chr2D,199246296,199246511
chr2D%532746481%532868043,chr2D,199249607,199249822
chr2D%532746481%532868043,chr2D,532526825,532527040
chr2D%532746481%532868043,chr2D,532604980,532605184
chr2D%532746481%532868043,chr2D,532619537,532619752
chr2D%532746481%532868043,chr2D,532622541,532622756
chr2D%532746481%532868043,chr2D,532650001,532650216
chr2D%532746481%532868043,chr2D,532753360,532753575
chr2D%532746481%532868043,chr2D,532758612,532758822
chr2D%532746481%532868043,chr2D,532846467,532846671
chr2D%532746481%532868043,chr2D,198864904,198865117
chr2D%532746481%532868043,chr2D,198872807,198873011
chr2D%532746481%532868043,chr2D,532595066,532595274
chr2D%532746481%532868043,chr2D,532611285,532611493
chr2D%532746481%532868043,chr2D,532703724,532703932
chr2D%532746481%532868043,chr2D,532750624,532750837
chr2D%532746481%532868043,chr2D,532754434,532754648
chr2D%532746481%532868043,chr2D,532763595,532763808
chr2D%532746481%532868043,chr2D,532770261,532770474
chr2D%532746481%532868043,chr2D,532826772,532826980
chr2D%532746481%532868043,chr2D,532829721,532829929
chr2D%532746481%532868043,chr2D,532835666,532835874
chr2D%532746481%532868043,chr2D,532843494,532843702
chr2D%532746481%532868043,chr2D,532851090,532851298
chr2D%532746481%532868043,chr2D,532900446,532900654
chr2D%532746481%532868043,chr2D,532909353,532909561
chr2D%532746481%532868043,chr2D,532918240,532918448
chr2D%532746481%532868043,chr2D,532925015,532925223
chr2D%532746481%532868043,chr2D,532752298,532752504
chr2D%532746481%532868043,chr2D,532756961,532757172
chr2D%532746481%532868043,chr2D,532837781,532837992
chr2D%532746481%532868043,chr2D,532930920,532931126
chr2D%532746481%532868043,chr2D,198985829,198986044
chr2D%532746481%532868043,chr2D,199018988,199019203
chr2D%532746481%532868043,chr2D,199030607,199030822
chr2D%532746481%532868043,chr2D,199034997,199035212
chr2D%532746481%532868043,chr2D,199036387,199036602
chr2D%532746481%532868043,chr2D,199037468,199037674
chr2D%532746481%532868043,chr2D,199038408,199038623
chr2D%532746481%532868043,chr2D,199139502,199139717
chr2D%532746481%532868043,chr2D,199148061,199148276
chr2D%532746481%532868043,chr2D,199248567,199248772
chr2D%532746481%532868043,chr2D,199251886,199252091
chr2D%532746481%532868043,chr2D,199310889,199310673
chr2D%532746481%532868043,chr2D,532620611,532620826
chr2D%532746481%532868043,chr2D,532624471,532624686
chr2D%532746481%532868043,chr2D,532627248,532627463
chr2D%532746481%532868043,chr2D,532649141,532649357
chr2D%532746481%532868043,chr2D,532653643,532653858
chr2D%532746481%532868043,chr2D,532655358,532655573
chr2D%532746481%532868043,chr2D,532665480,532665695
chr2D%532746481%532868043,chr2D,532678211,532678426
chr2D%532746481%532868043,chr2D,532693866,532694075
chr2D%532746481%532868043,chr2D,532698314,532698529
chr2D%532746481%532868043,chr2D,532704142,532704354
chr2D%532746481%532868043,chr2D,532704786,532705001
chr2D%532746481%532868043,chr2D,532707629,532707839
chr2D%532746481%532868043,chr2D,532731627,532731837
chr2D%532746481%532868043,chr2D,532752716,532752928
chr2D%532746481%532868043,chr2D,532753790,532754002
chr2D%532746481%532868043,chr2D,532757789,532757999
chr2D%532746481%532868043,chr2D,532936605,532936820
chr2D%532746481%532868043,chr2D,198986259,198986473
chr2D%532746481%532868043,chr2D,199062745,199062958
chr2D%532746481%532868043,chr2D,199088828,199089042
chr2D%532746481%532868043,chr2D,199298385,199298177
chr2D%532746481%532868043,chr2D,532511772,532511564
chr2D%532746481%532868043,chr2D,532586520,532586733
chr2D%532746481%532868043,chr2D,532588759,532588967
chr2D%532746481%532868043,chr2D,532603054,532603262
chr2D%532746481%532868043,chr2D,532618459,532618667
chr2D%532746481%532868043,chr2D,532668028,532668242
chr2D%532746481%532868043,chr2D,532671538,532671746
chr2D%532746481%532868043,chr2D,532680343,532680551
chr2D%532746481%532868043,chr2D,532683831,532684039
chr2D%532746481%532868043,chr2D,532696176,532696384
chr2D%532746481%532868043,chr2D,532710947,532711161
chr2D%532746481%532868043,chr2D,532718399,532718612
chr2D%532746481%532868043,chr2D,532722548,532722761
chr2D%532746481%532868043,chr2D,532749796,532750010
chr2D%532746481%532868043,chr2D,532755292,532755506
chr2D%532746481%532868043,chr2D,532759438,532759652
chr2D%532746481%532868043,chr2D,532760272,532760486
chr2D%532746481%532868043,chr2D,532761107,532761321
chr2D%532746481%532868043,chr2D,532764422,532764636
chr2D%532746481%532868043,chr2D,532765255,532765469
chr2D%532746481%532868043,chr2D,532766089,532766303
chr2D%532746481%532868043,chr2D,532769427,532769641
chr2D%532746481%532868043,chr2D,532771089,532771303
chr2D%532746481%532868043,chr2D,532771921,532772135
chr2D%532746481%532868043,chr2D,532773581,532773795
chr2D%532746481%532868043,chr2D,532775248,532775462
chr2D%532746481%532868043,chr2D,532777738,532777951
chr2D%532746481%532868043,chr2D,532781891,532782104
chr2D%532746481%532868043,chr2D,532783546,532783760
chr2D%532746481%532868043,chr2D,532812445,532812659
chr2D%532746481%532868043,chr2D,532814918,532815132
chr2D%532746481%532868043,chr2D,532818218,532818432
chr2D%532746481%532868043,chr2D,532819054,532819268
chr2D%532746481%532868043,chr2D,532820719,532820933
chr2D%532746481%532868043,chr2D,532824035,532824249
chr2D%532746481%532868043,chr2D,532852990,532853203
chr2D%532746481%532868043,chr2D,532853825,532854038
chr2D%532746481%532868043,chr2D,532865599,532865807
chr2D%532746481%532868043,chr2D,532868855,532869068
chr2D%532746481%532868043,chr2D,532871618,532871826
chr2D%532746481%532868043,chr2D,532876153,532876367
chr2D%532746481%532868043,chr2D,532878639,532878853
chr2D%532746481%532868043,chr2D,532879470,532879684
chr2D%532746481%532868043,chr2D,532880305,532880519
chr2D%532746481%532868043,chr2D,532881140,532881353
chr2D%532746481%532868043,chr2D,532881974,532882188
chr2D%532746481%532868043,chr2D,532883635,532883849
chr2D%532746481%532868043,chr2D,532884471,532884685
chr2D%532746481%532868043,chr2D,532885301,532885515
chr2D%532746481%532868043,chr2D,532886136,532886350
chr2D%532746481%532868043,chr2D,532888618,532888831
chr2D%532746481%532868043,chr2D,532889442,532889656
chr2D%532746481%532868043,chr2D,532890278,532890492
chr2D%532746481%532868043,chr2D,532891946,532892160
