source,chr,start,end
chr1%2500000%7190,chr1,2500000,2500001
chr1%3500000%7590,chr1,3500000,3500001
chr1%4500000%8460,chr1,4500000,4500001
chr1%6500000%7850,chr1,6500000,6500001
chr1%7500000%7900,chr1,7500000,7500001
chr1%8500000%9800,chr1,8500000,8500001
chr1%9500000%11210,chr1,9500000,9500001
chr1%10500000%10440,chr1,10500000,10500001
chr1%11500000%10890,chr1,11500000,11500001
chr1%12500000%10620,chr1,12500000,12500001
chr1%13500000%9770,chr1,13500000,13500001
chr1%14500000%10670,chr1,14500000,14500001
chr1%15500000%10580,chr1,15500000,15500001
chr1%16500000%12310,chr1,16500000,16500001
chr1%17500000%10610,chr1,17500000,17500001
chr1%18500000%11240,chr1,18500000,18500001
chr1%19500000%11470,chr1,19500000,19500001
chr1%20500000%11160,chr1,20500000,20500001
chr1%21500000%12090,chr1,21500000,21500001
chr1%22500000%11940,chr1,22500000,22500001
chr1%23500000%10390,chr1,23500000,23500001
chr1%24500000%10590,chr1,24500000,24500001
chr1%25500000%10830,chr1,25500000,25500001
chr1%26500000%10450,chr1,26500000,26500001
chr1%27500000%9940,chr1,27500000,27500001
chr1%28500000%10320,chr1,28500000,28500001
chr1%29500000%9820,chr1,29500000,29500001
chr1%30500000%10210,chr1,30500000,30500001
chr1%31500000%10670,chr1,31500000,31500001
chr1%32500000%10630,chr1,32500000,32500001
chr1%33500000%10180,chr1,33500000,33500001
chr1%34500000%10930,chr1,34500000,34500001
chr1%35500000%8800,chr1,35500000,35500001
chr1%36500000%9290,chr1,36500000,36500001
chr1%37500000%9580,chr1,37500000,37500001
chr1%38500000%10380,chr1,38500000,38500001
chr1%39500000%9770,chr1,39500000,39500001
chr1%40500000%10740,chr1,40500000,40500001
chr1%41500000%9520,chr1,41500000,41500001
chr1%42500000%10470,chr1,42500000,42500001
chr1%43500000%10120,chr1,43500000,43500001
chr1%44500000%7950,chr1,44500000,44500001
chr1%45500000%9720,chr1,45500000,45500001
chr1%46500000%9620,chr1,46500000,46500001
chr1%47500000%9280,chr1,47500000,47500001
chr1%48500000%8650,chr1,48500000,48500001
chr1%50500000%9130,chr1,50500000,50500001
chr1%51500000%9640,chr1,51500000,51500001
chr1%52500000%8700,chr1,52500000,52500001
chr1%53500000%8500,chr1,53500000,53500001
chr1%54500000%8070,chr1,54500000,54500001
chr1%55500000%7380,chr1,55500000,55500001
chr1%56500000%7470,chr1,56500000,56500001
chr1%57500000%7870,chr1,57500000,57500001
chr1%58500000%8800,chr1,58500000,58500001
chr1%60500000%8570,chr1,60500000,60500001
chr1%61500000%7500,chr1,61500000,61500001
chr1%62500000%8710,chr1,62500000,62500001
chr1%63500000%8640,chr1,63500000,63500001
chr1%64500000%7900,chr1,64500000,64500001
chr1%65500000%9460,chr1,65500000,65500001
chr1%66500000%8490,chr1,66500000,66500001
chr1%67500000%9400,chr1,67500000,67500001
chr1%69500000%7590,chr1,69500000,69500001
chr1%70500000%7720,chr1,70500000,70500001
chr1%71500000%7670,chr1,71500000,71500001
chr1%72500000%7520,chr1,72500000,72500001
chr1%73500000%8300,chr1,73500000,73500001
chr1%74500000%7970,chr1,74500000,74500001
chr1%75500000%7540,chr1,75500000,75500001
chr1%76500000%9320,chr1,76500000,76500001
chr1%77500000%7130,chr1,77500000,77500001
chr1%78500000%7420,chr1,78500000,78500001
chr1%80500000%7480,chr1,80500000,80500001
chr1%81500000%7110,chr1,81500000,81500001
chr1%82500000%7180,chr1,82500000,82500001
chr1%83500000%7020,chr1,83500000,83500001
chr1%88500000%8000,chr1,88500000,88500001
chr1%89500000%7160,chr1,89500000,89500001
chr1%99500000%7620,chr1,99500000,99500001
chr1%101500000%7440,chr1,101500000,101500001
chr1%103500000%7560,chr1,103500000,103500001
chr1%107500000%7560,chr1,107500000,107500001
chr1%112500000%7070,chr1,112500000,112500001
chr1%124500000%7170,chr1,124500000,124500001
chr1%125500000%7250,chr1,125500000,125500001
chr1%128500000%7610,chr1,128500000,128500001
chr1%129500000%7140,chr1,129500000,129500001
chr1%134500000%7540,chr1,134500000,134500001
chr1%135500000%7370,chr1,135500000,135500001
