source,chr,start,end
chr1A%20704%20705,chr1A,20704,20705
chr1A%32292%32293,chr1A,32292,32293
chr1A%55587%55588,chr1A,55587,55588
chr1A%74579%74580,chr1A,74579,74580
chr1A%97337%97338,chr1A,97337,97338
chr1A%143098%143099,chr1A,143098,143099
chr1A%143108%143109,chr1A,143108,143109
chr1A%170372%170373,chr1A,170372,170373
chr1A%200634%200635,chr1A,200634,200635
chr1A%239857%239858,chr1A,239857,239858
chr1A%239975%239976,chr1A,239975,239976
chr1A%240047%240048,chr1A,240047,240048
chr1A%261344%261345,chr1A,261344,261345
chr1A%265621%265622,chr1A,265621,265622
chr1A%270281%270282,chr1A,270281,270282
chr1A%271605%271606,chr1A,271605,271606
chr1A%300010%300011,chr1A,300010,300011
chr1A%327751%327752,chr1A,327751,327752
chr1A%351261%351262,chr1A,351261,351262
chr1A%359388%359389,chr1A,359388,359389
chr1A%359736%359737,chr1A,359736,359737
chr1A%391313%391314,chr1A,391313,391314
chr1A%392008%392009,chr1A,392008,392009
chr1A%394489%394490,chr1A,394489,394490
chr1A%394554%394555,chr1A,394554,394555
chr1A%400533%400534,chr1A,400533,400534
chr1A%411046%411047,chr1A,411046,411047
chr1A%416662%416663,chr1A,416662,416663
chr1A%1156823%1156824,chr1A,1156823,1156824
chr1A%6837019%6837020,chr1A,6837019,6837020
chr1A%8000850%8000851,chr1A,8000850,8000851
chr1A%8527071%8527072,chr1A,8527071,8527072
chr1A%10925981%10925982,chr1A,10925981,10925982
chr1A%10926443%10926444,chr1A,10926443,10926444
chr1A%11520966%11520967,chr1A,11520966,11520967
chr1A%11520969%11520970,chr1A,11520969,11520970
chr1A%12586098%12586099,chr1A,12586098,12586099
chr1A%15700420%15700421,chr1A,15700420,15700421
chr1A%18810351%18810352,chr1A,18810351,18810352
chr1A%18810369%18810370,chr1A,18810369,18810370
chr1A%18810402%18810403,chr1A,18810402,18810403
chr1A%24538481%24538482,chr1A,24538481,24538482
chr1A%29540398%29540399,chr1A,29540398,29540399
chr1A%30769005%30769006,chr1A,30769005,30769006
chr1A%30769222%30769223,chr1A,30769222,30769223
chr1A%34219466%34219467,chr1A,34219466,34219467
chr1A%34732745%34732746,chr1A,34732745,34732746
chr1A%44520594%44520595,chr1A,44520594,44520595
chr1A%46621081%46621082,chr1A,46621081,46621082
chr1A%49762928%49762929,chr1A,49762928,49762929
chr1A%55870335%55870336,chr1A,55870335,55870336
chr1A%63040973%63040974,chr1A,63040973,63040974
chr1A%63040976%63040977,chr1A,63040976,63040977
chr1A%63041062%63041063,chr1A,63041062,63041063
chr1A%63041399%63041400,chr1A,63041399,63041400
chr1A%63041408%63041409,chr1A,63041408,63041409
chr1A%63041412%63041413,chr1A,63041412,63041413
chr1A%63041466%63041467,chr1A,63041466,63041467
chr1A%63490526%63490527,chr1A,63490526,63490527
chr1A%63490562%63490563,chr1A,63490562,63490563
chr1A%63490589%63490590,chr1A,63490589,63490590
chr1A%66188487%66188488,chr1A,66188487,66188488
