source,chr,start,end
chr1A%280234842%280234886,chr1A,280234842,280234886
chr1A%280234842%280234886,chr4D,387645293,387645337
chr1A%280234842%280234886,chr4A,232461724,232461680
chr1A%280234842%280234886,chr3D,373355549,373355593
chr1A%280234848%280234892,chr1A,280234848,280234892
chr1A%280234848%280234892,chr4A,232461718,232461678
chr1A%280886293%280886337,chr1A,280886293,280886337
chr1A%280886417%280886461,chr1A,280886417,280886461
chr1A%280886423%280886467,chr1A,280886423,280886467
chr1A%280886429%280886473,chr1A,280886429,280886473
chr1A%280886435%280886479,chr1A,280886435,280886479
chr1A%280886441%280886485,chr1A,280886441,280886485
chr1C%44512950%44512994,chr1C,44512950,44512994
chr1D%583250%583294,chr1D,583250,583294
chr1D%740061%740105,chr1D,740061,740105
chr1D%740061%740105,chr7A,740220,740261
chr1D%571239%571283,chr1D,571239,571283
chr1D%975055%975099,chr1D,975055,975099
chr1D%555775%555819,chr1D,555775,555819
chr1D%23937%23981,chr1D,23937,23981
chr1D%588147%588191,chr1D,588147,588191
chr1D%741377%741421,chr1D,741377,741421
chr1D%554770%554814,chr1D,554770,554814
chr1D%554770%554814,chr1D,555837,555881
chr1D%574627%574671,chr1D,574627,574671
chr1D%741371%741415,chr1D,741371,741415
chr1D%583256%583300,chr1D,583256,583300
chr1D%737557%737601,chr1D,737557,737601
chr1D%558357%558401,chr1D,558357,558401
chr1D%555799%555843,chr1D,555799,555843
chr1D%583262%583306,chr1D,583262,583306
chr1D%563302%563346,chr1D,563302,563346
chr1D%583045%583089,chr1D,583045,583089
chr1D%583045%583089,chr7A,550840,550877
chr1D%551200%551244,chr1D,551200,551244
chr1D%732660%732704,chr1D,732660,732704
chr1D%731959%732003,chr1D,731959,732003
chr1D%556486%556530,chr1D,556486,556530
chr1D%731480%731524,chr1D,731480,731524
chr1D%551626%551670,chr1D,551626,551670
chr1D%555781%555825,chr1D,555781,555825
chr1D%737384%737428,chr1D,737384,737428
chr1D%732031%732075,chr1D,732031,732075
chr1D%571251%571295,chr1D,571251,571295
chr1D%586031%586075,chr1D,586031,586075
chr1D%586031%586075,chr7A,554572,554614
chr1D%737545%737589,chr1D,737545,737589
chr1D%739232%739276,chr1D,739232,739276
chr1D%739232%739276,chr7A,739403,739447
chr1D%581897%581941,chr1D,581897,581941
chr1D%555793%555837,chr1D,555793,555837
chr1D%581891%581935,chr1D,581891,581935
chr1D%581891%581935,chr7A,466955793,466955830
chr1D%581891%581935,chr7A,452757361,452757398
chr1D%581891%581935,chr6C,139592112,139592149
chr1D%581891%581935,chr4D,377259487,377259524
chr1D%581891%581935,chr2D,72842450,72842487
chr1D%574655%574699,chr1D,574655,574699
chr1D%581903%581947,chr1D,581903,581947
chr1D%23925%23969,chr1D,23925,23969
chr1D%558441%558485,chr1D,558441,558485
chr1D%737563%737607,chr1D,737563,737607
chr1D%583238%583282,chr1D,583238,583282
chr1D%1495236%1495280,chr1D,1495236,1495280
chr1D%1664043%1664087,chr1D,1664043,1664087
chr1D%1735922%1735966,chr1D,1735922,1735966
chr1D%1735922%1735966,chr1D,2080136,2080180
chr1D%1523214%1523258,chr1D,1523214,1523258
chr1D%1668411%1668455,chr1D,1668411,1668455
chr1D%1668411%1668455,chr2A,355058003,355057960
chr1D%1668411%1668455,chr3D,325456899,325456937
chr1D%1668411%1668455,chr4D,378241915,378241956
chr1D%1668411%1668455,chr5A,144458153,144458196
chr1D%1668411%1668455,chr4A,382482796,382482839
chr1D%1739804%1739848,chr1D,1739804,1739848
chr1D%1675241%1675285,chr1D,1675241,1675285
chr1D%1727948%1727992,chr1D,1727948,1727992
chr1D%1490632%1490676,chr1D,1490632,1490676
chr1D%1490632%1490676,chr7A,1783235,1783276
chr1D%1663460%1663504,chr1D,1663460,1663504
chr1D%1492551%1492595,chr1D,1492551,1492595
chr1D%1675506%1675550,chr1D,1675506,1675550
chr1D%1519893%1519937,chr1D,1519893,1519937
chr1D%1704608%1704652,chr1D,1704608,1704652
chr1D%1523198%1523242,chr1D,1523198,1523242
chr1D%1530874%1530918,chr1D,1530874,1530918
chr1D%1734467%1734511,chr1D,1734467,1734511
chr1D%1735907%1735951,chr1D,1735907,1735951
chr1D%1735907%1735951,chr1D,2080121,2080165
chr1D%1518173%1518217,chr1D,1518173,1518217
chr1D%1495230%1495274,chr1D,1495230,1495274
chr1D%1737747%1737791,chr1D,1737747,1737791
chr1D%1739849%1739893,chr1D,1739849,1739893
chr1D%1675500%1675544,chr1D,1675500,1675544
chr1D%1759526%1759570,chr1D,1759526,1759570
chr1D%1727924%1727968,chr1D,1727924,1727968
chr1D%1505174%1505218,chr1D,1505174,1505218
chr1D%1505174%1505218,chr7A,1789374,1789416
chr1D%1519887%1519931,chr1D,1519887,1519931
chr1D%1704614%1704658,chr1D,1704614,1704658
chr1D%1523204%1523248,chr1D,1523204,1523248
chr1D%1739861%1739905,chr1D,1739861,1739905
chr1D%1495242%1495286,chr1D,1495242,1495286
