source,chr,start,end
chr1A%47449%47450,chr1A,47449,47449
chr1A%83954%83955,chr1A,83954,83954
chr1A%494368%494369,chr1A,494368,494368
chr1A%518596%518597,chr1A,518596,518596
chr1A%794555%794556,chr1A,794555,794555
chr1A%798110%798111,chr1A,798110,798110
chr1A%802292%802293,chr1A,802292,802292
chr1A%802328%802329,chr1A,802328,802328
chr1A%913859%913860,chr1A,913859,913859
chr1A%913861%913862,chr1A,913861,913861
chr1A%1184784%1184785,chr1A,1184784,1184784
chr1A%1184788%1184789,chr1A,1184788,1184788
chr1A%1219225%1219226,chr1A,1219225,1219225
chr1A%1300038%1300039,chr1A,1300038,1300038
chr1A%1300039%1300040,chr1A,1300039,1300039
chr1A%1345787%1345788,chr1A,1345787,1345787
chr1A%1538668%1538669,chr1A,1538668,1538668
chr1A%1539063%1539064,chr1A,1539063,1539063
chr1A%1677585%1677586,chr1A,1677585,1677585
chr1A%1677592%1677593,chr1A,1677592,1677592
chr1A%1677594%1677595,chr1A,1677594,1677594
chr1A%1677607%1677608,chr1A,1677607,1677607
chr1A%1677615%1677616,chr1A,1677615,1677615
chr1A%1677622%1677623,chr1A,1677622,1677622
chr1A%1791521%1791522,chr1A,1791521,1791521
chr1A%2091990%2091991,chr1A,2091990,2091990
chr1A%2113988%2113989,chr1A,2113988,2113988
chr1A%2114008%2114009,chr1A,2114008,2114008
chr1A%2114012%2114013,chr1A,2114012,2114012
chr1A%2114019%2114020,chr1A,2114019,2114019
chr1A%2119970%2119971,chr1A,2119970,2119970
chr1A%2119977%2119978,chr1A,2119977,2119977
chr1A%2131640%2131641,chr1A,2131640,2131640
chr1A%2146550%2146551,chr1A,2146550,2146550
chr1A%2146558%2146559,chr1A,2146558,2146558
chr1A%2175862%2175863,chr1A,2175862,2175862
chr1A%2463104%2463105,chr1A,2463104,2463104
chr1A%2463106%2463107,chr1A,2463106,2463106
chr1A%2463108%2463109,chr1A,2463108,2463108
chr1A%2563575%2563576,chr1A,2563575,2563575
chr1A%2747049%2747050,chr1A,2747049,2747049
chr1A%2786700%2786701,chr1A,2786700,2786700
chr1A%2786714%2786715,chr1A,2786714,2786714
chr1A%2786719%2786720,chr1A,2786719,2786719
chr1A%2786726%2786727,chr1A,2786726,2786726
chr1A%2873825%2873826,chr1A,2873825,2873825
chr1A%2906589%2906590,chr1A,2906589,2906589
chr1A%2957077%2957078,chr1A,2957077,2957077
chr1A%3289964%3289965,chr1A,3289964,3289964
chr1A%3405323%3405324,chr1A,3405323,3405323
chr1A%3612551%3612552,chr1A,3612551,3612551
chr1A%3760902%3760903,chr1A,3760902,3760902
chr1A%3766568%3766569,chr1A,3766568,3766568
chr1A%3828332%3828333,chr1A,3828332,3828332
chr1A%3829234%3829235,chr1A,3829234,3829234
chr1A%3835285%3835286,chr1A,3835285,3835285
chr1A%3845009%3845010,chr1A,3845009,3845009
chr1A%3879842%3879843,chr1A,3879842,3879842
chr1A%3957066%3957067,chr1A,3957066,3957066
chr1A%4672186%4672187,chr1A,4672186,4672186
chr1A%4672195%4672196,chr1A,4672195,4672195
chr1A%4695476%4695477,chr1A,4695476,4695476
chr1A%4706863%4706864,chr1A,4706863,4706863
chr1A%4968997%4968998,chr1A,4968997,4968997
chr1A%5006907%5006908,chr1A,5006907,5006907
chr1A%5006928%5006929,chr1A,5006928,5006928
chr1A%5006977%5006978,chr1A,5006977,5006977
chr1A%5006982%5006983,chr1A,5006982,5006982
chr1A%5010816%5010817,chr1A,5010816,5010816
chr1A%5108087%5108088,chr1A,5108087,5108087
chr1A%5120215%5120216,chr1A,5120215,5120215
chr1A%5459743%5459744,chr1A,5459743,5459743
chr1A%5537081%5537082,chr1A,5537081,5537081
chr1A%7886203%7886204,chr1A,7886203,7886203
chr1A%7973736%7973737,chr1A,7973736,7973736
chr1A%8274371%8274372,chr1A,8274371,8274371
chr1A%9265177%9265178,chr1A,9265177,9265177
chr1A%14457762%14457763,chr1A,14457762,14457762
chr1A%14517964%14517965,chr1A,14517964,14517964
chr1A%14765174%14765175,chr1A,14765174,14765174
chr1A%22484504%22484505,chr1A,22484504,22484504
chr1A%25448838%25448839,chr1A,25448838,25448838
chr1A%26608689%26608690,chr1A,26608689,26608689
chr1A%28644703%28644704,chr1A,28644703,28644703
chr1A%29691948%29691949,chr1A,29691948,29691948
chr1A%30292442%30292443,chr1A,30292442,30292442
chr1A%31159847%31159848,chr1A,31159847,31159847
chr1A%32010746%32010747,chr1A,32010746,32010746
chr1A%33892411%33892412,chr1A,33892411,33892411
chr1A%33999328%33999329,chr1A,33999328,33999328
chr1A%34251871%34251872,chr1A,34251871,34251871
chr1A%34944438%34944439,chr1A,34944438,34944438
chr1A%39068972%39068973,chr1A,39068972,39068972
chr1A%40872394%40872395,chr1A,40872394,40872394
chr1A%42700520%42700521,chr1A,42700520,42700520
chr1A%42822995%42822996,chr1A,42822995,42822995
chr1A%43115614%43115615,chr1A,43115614,43115614
chr1A%44513268%44513269,chr1A,44513268,44513268
chr1A%46492805%46492806,chr1A,46492805,46492805
chr1A%46924019%46924020,chr1A,46924019,46924019
chr1A%47310119%47310120,chr1A,47310119,47310119
chr1A%47310121%47310122,chr1A,47310121,47310121
chr1A%52157278%52157279,chr1A,52157278,52157278
chr1A%54623351%54623352,chr1A,54623351,54623351
chr1A%55074964%55074965,chr1A,55074964,55074964
chr1A%55074985%55074986,chr1A,55074985,55074985
chr1A%56298104%56298105,chr1A,56298104,56298104
chr1A%58192446%58192447,chr1A,58192446,58192446
chr1A%62232895%62232896,chr1A,62232895,62232895
chr1A%70283778%70283779,chr1A,70283778,70283778
chr1A%71278626%71278627,chr1A,71278626,71278626
chr1A%72454822%72454823,chr1A,72454822,72454822
chr1A%72538708%72538709,chr1A,72538708,72538708
chr1A%73212783%73212784,chr1A,73212783,73212783
chr1A%76137547%76137548,chr1A,76137547,76137547
chr1A%81261140%81261141,chr1A,81261140,81261140
chr1A%83404064%83404065,chr1A,83404064,83404064
chr1A%83469333%83469334,chr1A,83469333,83469333
chr1A%86503546%86503547,chr1A,86503546,86503546
chr1A%86877831%86877832,chr1A,86877831,86877831
chr1A%88468910%88468911,chr1A,88468910,88468910
chr1A%89200719%89200720,chr1A,89200719,89200719
chr1A%98017861%98017862,chr1A,98017861,98017861
chr1A%98154416%98154417,chr1A,98154416,98154416
