source,chr,start,end
chr1A%339219%339220,chr1A,339219,339219
chr1A%343688%343689,chr1A,343688,343688
chr1A%695291%695292,chr1A,695291,695291
chr1A%695489%695490,chr1A,695489,695489
chr1A%695490%695491,chr1A,695490,695490
chr1A%1407349%1407350,chr1A,1407349,1407349
chr1A%2566012%2566013,chr1A,2566012,2566012
chr1A%2778018%2778019,chr1A,2778018,2778018
chr1A%2909855%2909856,chr1A,2909855,2909855
chr1A%2909858%2909859,chr1A,2909858,2909858
chr1A%2909878%2909879,chr1A,2909878,2909878
chr1A%2909942%2909943,chr1A,2909942,2909942
chr1A%3048153%3048154,chr1A,3048153,3048153
chr1A%3277492%3277493,chr1A,3277492,3277492
chr1A%3279323%3279324,chr1A,3279323,3279323
chr1A%3505525%3505526,chr1A,3505525,3505525
chr1A%3683133%3683134,chr1A,3683133,3683133
chr1A%3691928%3691929,chr1A,3691928,3691928
chr1A%3768759%3768760,chr1A,3768759,3768759
chr1A%3822392%3822393,chr1A,3822392,3822392
chr1A%3826582%3826583,chr1A,3826582,3826582
chr1A%3835426%3835427,chr1A,3835426,3835426
chr1A%3835429%3835430,chr1A,3835429,3835429
chr1A%3837531%3837532,chr1A,3837531,3837531
chr1A%3837532%3837533,chr1A,3837532,3837532
chr1A%3872494%3872495,chr1A,3872494,3872494
chr1A%3879771%3879772,chr1A,3879771,3879771
chr1A%3879772%3879773,chr1A,3879772,3879772
chr1A%3879800%3879801,chr1A,3879800,3879800
chr1A%3879890%3879891,chr1A,3879890,3879890
chr1A%3879950%3879951,chr1A,3879950,3879950
chr1A%3879967%3879968,chr1A,3879967,3879967
chr1A%4499135%4499136,chr1A,4499135,4499135
chr1A%4659990%4659991,chr1A,4659990,4659990
chr1A%4698465%4698466,chr1A,4698465,4698465
chr1A%4698791%4698792,chr1A,4698791,4698791
chr1A%4699315%4699316,chr1A,4699315,4699315
chr1A%4710222%4710223,chr1A,4710222,4710222
chr1A%4711083%4711084,chr1A,4711083,4711083
chr1A%4833037%4833038,chr1A,4833037,4833037
chr1A%5022416%5022417,chr1A,5022416,5022416
chr1A%5110710%5110711,chr1A,5110710,5110710
chr1A%5342226%5342227,chr1A,5342226,5342226
chr1A%6582985%6582986,chr1A,6582985,6582985
chr1A%6582986%6582987,chr1A,6582986,6582986
chr1A%6582988%6582989,chr1A,6582988,6582988
chr1A%10410654%10410655,chr1A,10410654,10410654
chr1A%11925706%11925707,chr1A,11925706,11925706
chr1A%11930581%11930582,chr1A,11930581,11930581
chr1A%12039573%12039574,chr1A,12039573,12039573
chr1A%12041355%12041356,chr1A,12041355,12041355
chr1A%12041405%12041406,chr1A,12041405,12041405
chr1A%12041407%12041408,chr1A,12041407,12041407
chr1A%12041438%12041439,chr1A,12041438,12041438
chr1A%12045697%12045698,chr1A,12045697,12045697
chr1A%12056029%12056030,chr1A,12056029,12056029
chr1A%12056144%12056145,chr1A,12056144,12056144
chr1A%13968398%13968399,chr1A,13968398,13968398
chr1A%14398185%14398186,chr1A,14398185,14398185
chr1A%14637978%14637979,chr1A,14637978,14637978
chr1A%15398062%15398063,chr1A,15398062,15398062
chr1A%15398066%15398067,chr1A,15398066,15398066
chr1A%15398068%15398069,chr1A,15398068,15398068
chr1A%15758453%15758454,chr1A,15758453,15758453
chr1A%16721059%16721060,chr1A,16721059,16721059
chr1A%16733707%16733708,chr1A,16733707,16733707
chr1A%16872857%16872858,chr1A,16872857,16872857
chr1A%16872869%16872870,chr1A,16872869,16872869
chr1A%16872895%16872896,chr1A,16872895,16872895
chr1A%16889595%16889596,chr1A,16889595,16889595
chr1A%18424390%18424391,chr1A,18424390,18424390
chr1A%19846553%19846554,chr1A,19846553,19846553
chr1A%19948539%19948540,chr1A,19948539,19948539
chr1A%19971351%19971352,chr1A,19971351,19971351
